Input	Solution A	Solution A Sum
199		1154
203	1	
200	0	
201	1	
196	0	
195	0	
196	1	
214	1	
227	1	
225	0	
229	1	
260	1	
246	0	
253	1	
271	1	
281	1	
280	0	
295	1	
310	1	
293	0	
295	1	
297	1	
298	1	
297	0	
306	1	
299	0	
290	0	
292	1	
289	0	
287	0	
291	1	
296	1	
294	0	
287	0	
286	0	
287	1	
289	1	
290	1	
281	0	
283	1	
282	0	
275	0	
256	0	
265	1	
242	0	
231	0	
226	0	
216	0	
227	1	
226	0	
249	1	
238	0	
237	0	
247	1	
245	0	
250	1	
264	1	
267	1	
259	0	
258	0	
264	1	
261	0	
249	0	
246	0	
239	0	
240	1	
259	1	
258	0	
280	1	
279	0	
278	0	
281	1	
272	0	
256	0	
255	0	
271	1	
286	1	
290	1	
286	0	
288	1	
290	1	
294	1	
292	0	
294	1	
292	0	
293	1	
294	1	
291	0	
298	1	
303	1	
301	0	
330	1	
331	1	
336	1	
362	1	
371	1	
374	1	
368	0	
367	0	
368	1	
366	0	
364	0	
371	1	
377	1	
378	1	
384	1	
386	1	
388	1	
393	1	
409	1	
423	1	
422	0	
411	0	
412	1	
426	1	
430	1	
441	1	
460	1	
462	1	
464	1	
469	1	
461	0	
483	1	
452	0	
455	1	
457	1	
468	1	
506	1	
509	1	
514	1	
525	1	
512	0	
524	1	
523	0	
522	0	
531	1	
549	1	
548	0	
549	1	
548	0	
524	0	
525	1	
528	1	
526	0	
537	1	
544	1	
549	1	
546	0	
525	0	
532	1	
535	1	
543	1	
544	1	
545	1	
525	0	
536	1	
538	1	
541	1	
524	0	
534	1	
542	1	
538	0	
539	1	
544	1	
543	0	
539	0	
538	0	
527	0	
553	1	
552	0	
562	1	
560	0	
561	1	
573	1	
574	1	
570	0	
571	1	
568	0	
569	1	
571	1	
573	1	
566	0	
567	1	
584	1	
591	1	
607	1	
605	0	
604	0	
605	1	
617	1	
615	0	
617	1	
606	0	
608	1	
609	1	
613	1	
616	1	
635	1	
634	0	
637	1	
635	0	
634	0	
655	1	
639	0	
646	1	
637	0	
628	0	
622	0	
648	1	
645	0	
640	0	
652	1	
653	1	
659	1	
661	1	
658	0	
650	0	
667	1	
670	1	
668	0	
680	1	
682	1	
673	0	
668	0	
678	1	
677	0	
675	0	
676	1	
677	1	
675	0	
688	1	
681	0	
676	0	
684	1	
675	0	
664	0	
665	1	
654	0	
660	1	
664	1	
663	0	
667	1	
658	0	
661	1	
676	1	
675	0	
680	1	
681	1	
690	1	
693	1	
697	1	
721	1	
733	1	
739	1	
740	1	
739	0	
751	1	
765	1	
766	1	
752	0	
748	0	
763	1	
772	1	
771	0	
782	1	
784	1	
797	1	
799	1	
817	1	
812	0	
811	0	
795	0	
783	0	
785	1	
790	1	
785	0	
784	0	
782	0	
771	0	
756	0	
759	1	
783	1	
772	0	
774	1	
779	1	
783	1	
786	1	
780	0	
783	1	
779	0	
777	0	
778	1	
777	0	
762	0	
778	1	
777	0	
770	0	
773	1	
769	0	
770	1	
771	1	
764	0	
765	1	
761	0	
745	0	
754	1	
758	1	
759	1	
746	0	
738	0	
740	1	
742	1	
767	1	
765	0	
754	0	
755	1	
758	1	
762	1	
760	0	
761	1	
757	0	
761	1	
770	1	
773	1	
777	1	
776	0	
777	1	
769	0	
767	0	
793	1	
805	1	
798	0	
793	0	
803	1	
809	1	
808	0	
817	1	
804	0	
809	1	
805	0	
804	0	
806	1	
808	1	
812	1	
830	1	
831	1	
832	1	
831	0	
819	0	
820	1	
823	1	
822	0	
812	0	
814	1	
812	0	
842	1	
858	1	
855	0	
856	1	
862	1	
860	0	
855	0	
839	0	
840	1	
841	1	
840	0	
846	1	
850	1	
859	1	
861	1	
852	0	
846	0	
848	1	
845	0	
833	0	
843	1	
846	1	
849	1	
889	1	
890	1	
894	1	
904	1	
907	1	
904	0	
905	1	
906	1	
907	1	
910	1	
902	0	
906	1	
900	0	
907	1	
906	0	
899	0	
887	0	
867	0	
866	0	
873	1	
878	1	
885	1	
880	0	
890	1	
863	0	
860	0	
859	0	
885	1	
856	0	
853	0	
854	1	
852	0	
864	1	
855	0	
874	1	
875	1	
874	0	
875	1	
871	0	
872	1	
867	0	
870	1	
873	1	
874	1	
860	0	
862	1	
879	1	
878	0	
879	1	
880	1	
881	1	
882	1	
878	0	
882	1	
885	1	
890	1	
902	1	
903	1	
905	1	
906	1	
909	1	
917	1	
916	0	
934	1	
932	0	
935	1	
937	1	
935	0	
910	0	
911	1	
907	0	
902	0	
904	1	
910	1	
917	1	
918	1	
943	1	
945	1	
959	1	
973	1	
972	0	
969	0	
973	1	
972	0	
958	0	
957	0	
959	1	
963	1	
968	1	
961	0	
960	0	
973	1	
971	0	
970	0	
977	1	
1002	1	
1012	1	
1011	0	
1007	0	
1017	1	
1024	1	
1014	0	
1013	0	
1019	1	
1005	0	
984	0	
983	0	
980	0	
993	1	
999	1	
982	0	
988	1	
989	1	
990	1	
992	1	
988	0	
989	1	
988	0	
981	0	
958	0	
973	1	
966	0	
965	0	
942	0	
926	0	
933	1	
928	0	
932	1	
940	1	
927	0	
